year,level_1,value
2015,Male Arrested For Theft Of Motor Vehicle,133
2015,Female Arrested For Theft Of Motor Vehicle,8
2015,Total Persons Arrested For Snatch Theft,41
2015,Male Arrested For Snatch Theft,39
2015,Female Arrested For Snatch Theft,2
2015,Total Persons Arrested For Rioting,530
2015,Male Arrested For Rioting,492
2015,Female Arrested For Rioting,38
2015,Total Persons Arrested For Serious Hurt,460
2015,Male Arrested For Serious Hurt,413
2015,Female Arrested For Serious Hurt,47
2015,Total Persons Arrested For Cheating & Related,2070
2015,Male Arrested For Cheating & Related,1430
2015,Female Arrested For Cheating & Related,640
2016,Total Persons Arrested For Murder,43
2016,Male Arrested For Murder,37
2016,Female Arrested For Murder,6
2016,Total Persons Arrested For Rape,91
2016,Male Arrested For Rape,91
2016,Female Arrested For Rape,0
2016,Total Persons Arrested For Outrage Of Modesty,872
2016,Male Arrested For Outrage Of Modesty,864
2016,Female Arrested For Outrage Of Modesty,8
2016,Total Persons Arrested For Robbery,108
2016,Male Arrested For Robbery,104
2016,Female Arrested For Robbery,4
2016,Total Persons Arrested For Housebreaking,166
2016,Male Arrested For Housebreaking,159
2016,Female Arrested For Housebreaking,7
2016,Total Persons Arrested For Theft Of Motor Vehicle,85
2016,Male Arrested For Theft Of Motor Vehicle,82
2016,Female Arrested For Theft Of Motor Vehicle,3
2016,Total Persons Arrested For Snatch Theft,38
2016,Male Arrested For Snatch Theft,38
2016,Female Arrested For Snatch Theft,0
2016,Total Persons Arrested For Rioting,542
2016,Male Arrested For Rioting,488
2016,Female Arrested For Rioting,54
2016,Total Persons Arrested For Serious Hurt,480
2016,Male Arrested For Serious Hurt,423
2016,Female Arrested For Serious Hurt,57
2016,Total Persons Arrested For Cheating & Related,2043
2016,Male Arrested For Cheating & Related,1399
2016,Female Arrested For Cheating & Related,644
2017,Total Persons Arrested For Murder,14
2017,Male Arrested For Murder,13
2017,Female Arrested For Murder,1
2017,Total Persons Arrested For Rape,88
2017,Male Arrested For Rape,88
2017,Female Arrested For Rape,0
2017,Total Persons Arrested For Outrage Of Modesty,975
2017,Male Arrested For Outrage Of Modesty,964
2017,Female Arrested For Outrage Of Modesty,11
2017,Total Persons Arrested For Robbery,93
2017,Male Arrested For Robbery,86
2017,Female Arrested For Robbery,7
2017,Total Persons Arrested For Housebreaking,157
2017,Male Arrested For Housebreaking,143
2017,Female Arrested For Housebreaking,14
2017,Total Persons Arrested For Theft Of Motor Vehicle,109
2017,Male Arrested For Theft Of Motor Vehicle,102
2017,Female Arrested For Theft Of Motor Vehicle,7
2017,Total Persons Arrested For Snatch Theft,46
2017,Male Arrested For Snatch Theft,41
2017,Female Arrested For Snatch Theft,5
2017,Total Persons Arrested For Rioting,439
2017,Male Arrested For Rioting,417
2017,Female Arrested For Rioting,22
2017,Total Persons Arrested For Serious Hurt,394
2017,Male Arrested For Serious Hurt,344
2017,Female Arrested For Serious Hurt,50
2017,Total Persons Arrested For Cheating & Related,2400
2017,Male Arrested For Cheating & Related,1672
2017,Female Arrested For Cheating & Related,728
2018,Total Persons Arrested For Murder,9
2018,Male Arrested For Murder,7
2018,Female Arrested For Murder,2
2018,Total Persons Arrested For Rape,172
2018,Male Arrested For Rape,172
2018,Female Arrested For Rape,0
2018,Total Persons Arrested For Outrage Of Modesty,1122
2018,Male Arrested For Outrage Of Modesty,1112
2018,Female Arrested For Outrage Of Modesty,10
2018,Total Persons Arrested For Robbery,99
2018,Male Arrested For Robbery,94
2018,Female Arrested For Robbery,5
2018,Total Persons Arrested For Housebreaking,176
2018,Male Arrested For Housebreaking,161
2018,Female Arrested For Housebreaking,15
2018,Total Persons Arrested For Theft Of Motor Vehicle,73
2018,Male Arrested For Theft Of Motor Vehicle,70
2018,Female Arrested For Theft Of Motor Vehicle,3
2018,Total Persons Arrested For Snatch Theft,35
2018,Male Arrested For Snatch Theft,32
2018,Female Arrested For Snatch Theft,3
2018,Total Persons Arrested For Rioting,381
2018,Male Arrested For Rioting,361
2018,Female Arrested For Rioting,20
2018,Total Persons Arrested For Serious Hurt,411
2018,Male Arrested For Serious Hurt,356
2018,Female Arrested For Serious Hurt,55
2018,Total Persons Arrested For Cheating & Related,2747
2018,Male Arrested For Cheating & Related,1865
2018,Female Arrested For Cheating & Related,882
2019,Total Persons Arrested For Murder,28
2019,Male Arrested For Murder,21
2019,Female Arrested For Murder,7
2019,Total Persons Arrested For Rape,171
2019,Male Arrested For Rape,171
2019,Female Arrested For Rape,0
2019,Total Persons Arrested For Outrage Of Modesty,1077
2019,Male Arrested For Outrage Of Modesty,1066
2019,Female Arrested For Outrage Of Modesty,11
2019,Total Persons Arrested For Robbery,105
2019,Male Arrested For Robbery,100
2019,Female Arrested For Robbery,5
2019,Total Persons Arrested For Housebreaking,144
2019,Male Arrested For Housebreaking,133
2019,Female Arrested For Housebreaking,11
2019,Total Persons Arrested For Theft Of Motor Vehicle,64
2019,Male Arrested For Theft Of Motor Vehicle,61
2019,Female Arrested For Theft Of Motor Vehicle,3
2019,Total Persons Arrested For Snatch Theft,30
2019,Male Arrested For Snatch Theft,29
2019,Female Arrested For Snatch Theft,1
2019,Total Persons Arrested For Rioting,395
2019,Male Arrested For Rioting,378
2019,Female Arrested For Rioting,17
2019,Total Persons Arrested For Serious Hurt,443
2019,Male Arrested For Serious Hurt,391
2019,Female Arrested For Serious Hurt,52
2019,Total Persons Arrested For Cheating & Related,2615
2019,Male Arrested For Cheating & Related,1829
2019,Female Arrested For Cheating & Related,786
